"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","threshold"
"201448_at",320.734623255814,386.526762790698,4.62050419792538,1.34879541278845e-05,0.000656227252907533,-4.45211361679923,"TIA1","Up"
"220720_x_at",165.246204651163,201.85441627907,4.61747624239303,1.3646117159132e-05,0.000662475879426882,-4.45227302319389,"MZT2B","Up"
"208051_s_at",408.770837209302,1049.73134883721,4.61420839693221,1.38188301496838e-05,0.000669387402713771,-4.45244503457577,"PAIP1","Up"
"218773_s_at",-411.9359,482.247396511628,-4.61324855188479,1.38699619285555e-05,0.000669387402713771,-4.45249555371869,"MSRB2","Down"
"212640_at",-904.310139534884,1864.12848837209,-4.61308662276557,1.38786061146956e-05,0.000669387402713771,-4.45250407625659,"HACD2","Down"
"208740_at",-322.705279069768,591.984848837209,-4.6108294120667,1.39996474891183e-05,0.000673767051835902,-4.45262286974358,"SAP18","Down"
"212646_at",-1202.74313953488,2537.71198837209,-4.60836690432397,1.41328662173809e-05,0.000678712624831676,-4.45275245400401,"RFTN1","Down"
"204589_at",-699.275139534883,1398.21791860465,-4.60056680413561,1.45630120731785e-05,0.000697865802207821,-4.45316282288665,"NUAK1","Down"
"212530_at",-689.574023255814,1783.51515116279,-4.59729474475327,1.47472117115607e-05,0.000705176220104522,-4.45333492504918,"NEK7","Down"
"200671_s_at",-26.6044162790697,60.50985,-4.5957319386198,1.48359851528213e-05,0.000707902049593829,-4.4534171156799,"SPTBN1","Down"
"211699_x_at",-1653.48660465116,1322.45920930233,-4.59326247257865,1.49773182399074e-05,0.000713118765683453,-4.45354697709471,"HBA1","Down"
"217794_at",233.413113953489,340.20725,4.58399997623161,1.55191617874065e-05,0.000737342179336417,-4.45403393067304,"PRR13","Up"
"202260_s_at",-529.520581395349,934.877709302326,-4.57768015151113,1.58997255638313e-05,0.000753816137742242,-4.45436605980297,"STXBP1","Down"
"201380_at",-547.115232558139,1928.73191860465,-4.57700928532617,1.59406508558541e-05,0.000754151853547766,-4.45440131040701,"CRTAP","Down"
"210751_s_at",-218.931627906977,467.161627906977,-4.57528497802276,1.60463092448307e-05,0.000757542179878312,-4.45449190886449,"RGN","Down"
"201479_at",563.882418604652,1242.79451162791,4.5674196981877,1.65369380807579e-05,0.000779054104130082,-4.45490507205319,"DKC1","Up"
"214091_s_at",-1384.07125581395,2348.97930232558,-4.56044923252548,1.69838840000648e-05,0.000798421702897559,-4.45527110087696,"GPX3","Down"
"212390_at",-423.30023255814,866.562441860465,-4.55781611979401,1.71557487338254e-05,0.000804290230202503,-4.45540933728204,"PDE4DIP","Down"
"219433_at",166.606348837209,187.801048837209,4.55743282232612,1.71809069504282e-05,0.000804290230202503,-4.45542945863608,"BCOR","Up"
"218574_s_at",-588.628069767442,1691.31724418605,-4.54920525835623,1.77296390948241e-05,0.000828238046016698,-4.45586127734974,"LMCD1","Down"
"201111_at",587.597581395349,1481.70030232558,4.5477067760803,1.78313919776482e-05,0.000831248760330408,-4.45593990556817,"CSE1L","Up"
"214434_at",-356.350046511628,886.341720930233,-4.54382830924452,1.80973910891625e-05,0.000841887610939056,-4.45614338915613,"HSPA12A","Down"
"37384_at",-368.640162790698,839.602220930233,-4.54298136357076,1.81559872533451e-05,0.000842853883263103,-4.45618781893533,"PPM1F","Down"
"209283_at",-984.192558139535,1907.67760465116,-4.53642545101382,1.86158230414615e-05,0.00086068846737386,-4.45653167120207,"CRYAB","Down"
"208581_x_at",-908.940930232559,2118.35255813953,-4.53640303899646,1.86174142294216e-05,0.00086068846737386,-4.45653284650134,"MT1X","Down"
"201843_s_at",-494.584302325581,1009.19243023256,-4.53438856224057,1.87609759081965e-05,0.000865195437628238,-4.45663848145193,"EFEMP1","Down"
"218667_at",-589.20365116279,1765.58101162791,-4.53394738967359,1.87925589827253e-05,0.000865195437628238,-4.45666161419556,"PJA1","Down"
"57588_at",-674.086255813953,1339.30019767442,-4.52856006433599,1.91824128015302e-05,0.000880569552205122,-4.45694405547807,"SLC24A3","Down"
"207196_s_at",-511.697209302326,1219.41944186047,-4.52824396708773,1.92055289849522e-05,0.000880569552205122,-4.45696062512273,"TNIP1","Down"
"204424_s_at",-1310.9221627907,2676.5376627907,-4.52443279599673,1.94863734972898e-05,0.000891611623490982,-4.45716038372958,"LMO3","Down"
"202709_at",-777.786511627907,1956.91213953488,-4.5214747469263,1.97070906530518e-05,0.000899862911930234,-4.45731540013991,"FMOD","Down"
"204677_at",-189.16403255814,303.140425581395,-4.51931417451263,1.98698323315908e-05,0.00090543859681971,-4.45742861002893,"CDH5","Down"
"209896_s_at",-225.534258139535,307.854370930233,-4.51778991638548,1.99854272494904e-05,0.00090884750081713,-4.45750847072037,"PTPN11","Down"
"202200_s_at",304.618465116279,775.381255813954,4.51557023668686,2.01549267953752e-05,0.000914688867171785,-4.45762475555852,"SRPK1","Up"
"211980_at",-1607.73346511628,3583.09561627907,-4.51430802080202,2.02519326614233e-05,0.000917223202224583,-4.45769087474357,"COL4A1","Down"
"201416_at",686.074651162791,1466.83630232558,4.50914177637845,2.06537131673838e-05,0.000932487953807148,-4.45796145532896,"SOX4","Up"
"217776_at",395.138362790698,689.286586046512,4.50890046648726,2.0672667467609e-05,0.000932487953807148,-4.45797409209394,"RDH11","Up"
"218024_at",-403.031325581395,1087.48531395349,-4.50403458861125,2.10584856872915e-05,0.000947972195090741,-4.45822887142964,"MPC1","Down"
"243_g_at",-504.257720930232,1144.23930232558,-4.50067697890443,2.13287699088803e-05,0.000958203588466893,-4.45840463942135,"MAP4","Down"
"209146_at",386.146720930233,754.715895348837,4.49932634521873,2.14384396479126e-05,0.000961192657292627,-4.45847533519219,"MSMO1","Up"
"204825_at",579.337455813954,431.849546511628,4.49805567759747,2.15421147656295e-05,0.000963901492615506,-4.45854184073294,"MELK","Up"
"201762_s_at",509.343325581395,989.437197674419,4.49677931381393,2.16467434507744e-05,0.000964824272528109,-4.45860863991492,"PSME2","Up"
"207233_s_at",-400.914046511627,1339.70353488372,-4.49674777299938,2.16493352001101e-05,0.000964824272528109,-4.45861029056327,"MITF","Down"
"208869_s_at",-411.104093023256,951.74088372093,-4.49485314217691,2.18055719310313e-05,0.000969847423830678,-4.45870943860122,"GABARAPL1","Down"
"213808_at",-238.250881395349,349.486954651163,-4.49384168699882,2.18894259816323e-05,0.000971637607865961,-4.45876236504634,"ADAM23","Down"
"202723_s_at",-456.664860465116,722.629825581395,-4.4900085213292,2.22100557681714e-05,0.000983909886048037,-4.45896291739371,"FOXO1","Down"
"219048_at",152.089909302326,319.821722093023,4.48794990940791,2.23841233038822e-05,0.000989653610278587,-4.45907060765141,"PIGN","Up"
"213175_s_at",1289.97497674419,1383.17274418605,4.48726932207892,2.24419609353771e-05,0.000990245971332687,-4.45910620797757,"SNRPB","Up"
"217605_at",-199.735651162791,507.135244186047,-4.48377569092592,2.2741142043564e-05,0.00100146416631766,-4.45928893322144,"USP27X","Down"
"219937_at",-46.9285046511628,63.4632081395349,-4.48320999955485,2.27899475794111e-05,0.00100163392882055,-4.45931851700176,"TRHDE","Down"
"53991_at",-73.4657930232558,138.31211744186,-4.48198067349033,2.28963587468004e-05,0.00100432984636802,-4.4593828035639,"DENND2A","Down"
"204798_at",703.174186046512,926.716046511628,4.47986129328881,2.30809442268189e-05,0.00101043748567034,-4.45949362473452,"MYB","Up"
"213226_at",220.895790697674,467.009546511628,4.47747656519394,2.32903627867947e-05,0.00101760618427087,-4.45961830559676,"CCNA2","Up"
"218487_at",-233.094162790698,470.77938372093,-4.47238121341989,2.37440017634024e-05,0.00103539646045772,-4.45988465198766,"ALAD","Down"
"219913_s_at",470.369706976744,660.910402325581,4.46903292179258,2.40467450933336e-05,0.00104655004084912,-4.46005963495442,"CRNKL1","Up"
"202217_at",-507.293860465116,1250.41560465116,-4.46501125829618,2.44153144464356e-05,0.00106051939923962,-4.46026976605191,"GATD3","Down"
"214297_at",-174.190534883721,265.931755813953,-4.46080550840412,2.48066025747174e-05,0.00107541930967399,-4.46048946572388,"CSPG4","Down"
"204735_at",-343.198906976745,1181.32954651163,-4.45970180521451,2.49102885007254e-05,0.00107781739545954,-4.46054711240997,"PDE4A","Down"
"212334_at",-783.868674418605,1285.62296511628,-4.45605858379374,2.52555322184181e-05,0.00109063764423064,-4.46073737361555,"GNS","Down"
"208079_s_at",435.384511627907,602.819674418605,4.45517293264821,2.53401566110099e-05,0.0010921754540873,-4.46078361943642,"AURKA","Up"
"209220_at",-565.022953488373,1425.72361627907,-4.44885192700698,2.59521508356289e-05,0.00111639339202764,-4.46111361511119,"GPC3","Down"
"213800_at",-732.110916279069,1079.6917744186,-4.44217808240725,2.66138242015098e-05,0.00114265095314498,-4.46146190349329,"CFH","Down"
"212464_s_at",2110.84344186047,2529.43320930233,4.42901608671943,2.79669290409091e-05,0.0011984366919588,-4.4621484008849,"FN1","Up"
"209297_at",-789.204104651163,976.290012790698,-4.42514691478678,2.83771939930808e-05,0.00121268212174791,-4.46235010835286,"ITSN1","Down"
