"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215619_at",-5.38233209302326,19.820673255814,-0.689597329686674,0.492322739498785,0.742033642787837,-4.59977583121671
"208347_at",-15.0256976744184,291.57761627907,-0.689595890922619,0.492323639968894,0.742033642787837,-4.59977584864668
"219527_at",-10.3220697674419,161.130911627907,-0.689585252676111,0.49233029808848,0.742033642787837,-4.59977597752314
"215027_at",-54.6544186046513,674.259209302326,-0.68956707538786,0.49234167475367,0.742033642787837,-4.59977619772639
"203488_at",-54.3605116279072,1035.70260465116,-0.689547490032365,0.49235393285003,0.742033642787837,-4.59977643498089
"208813_at",-18.645418604651,292.011895348837,-0.689513427056006,0.492375252606883,0.742033642787837,-4.59977684759975
"205145_s_at",-16.1548906976744,242.729903488372,-0.689511472212198,0.492376476143984,0.742033642787837,-4.59977687127897
"212476_at",-56.2139069767443,780.902930232558,-0.689505418974184,0.492380264877303,0.742033642787837,-4.59977694460205
"220833_at",-91.8889767441858,1222.50620930233,-0.689428243828942,0.492428570343658,0.74205417015206,-4.59977787937199
"214029_at",12.7905790697674,100.884473255814,0.689377251895662,0.492460488632979,0.74205417015206,-4.5997784969464
"207428_x_at",13.8159162790697,222.54331627907,0.689257920036559,0.492535188561837,0.74206948168216,-4.5997799420259
"208713_at",-48.6379534883717,908.411651162791,-0.689254620445517,0.492537254143479,0.74206948168216,-4.59977998197967
"205859_at",100.89211627907,1153.75524418605,0.689199712322527,0.492571627948742,0.742071096314098,-4.59978064681825
"208543_at",-5.7131348837209,85.9409069767442,-0.689125405365177,0.49261814797482,0.742091008066719,-4.59978154645934
"214861_at",36.0022558139531,508.374244186046,0.688996150548942,0.492699073933498,0.742116003760986,-4.59978311113312
"207571_x_at",-40.1556976744184,605.560895348837,-0.688992516992716,0.492701348994302,0.742116003760986,-4.59978315511441
"206845_s_at",-42.1917674418605,525.801930232558,-0.688812826600153,0.492813864810424,0.742221828025602,-4.59978532983995
"219876_s_at",-8.70516511627909,115.333259302326,-0.688724891993246,0.492868931481195,0.742221828025602,-4.5997863938774
"32062_at",-5.39134186046515,50.0035593023256,-0.688693260811177,0.492888740474625,0.742221828025602,-4.59978677659254
"220071_x_at",113.17230232558,1870.73789534884,0.688667549052327,0.492904842755592,0.742221828025602,-4.59978708767414
"215556_at",-56.198186046512,1029.58427906977,-0.688566088066671,0.492968386649589,0.742253363178313,-4.59978831512012
"221681_s_at",-50.6428604651163,803.826151162791,-0.688422847077416,0.493058104502504,0.742253363178313,-4.59979004770752
"210188_at",-3.79685581395349,40.7569790697674,-0.688364311630084,0.493094770276017,0.742253363178313,-4.59979075562809
"208239_at",-3.43048604651162,46.3219918604651,-0.688347728876654,0.493105157747647,0.742253363178313,-4.59979095616719
"204061_at",48.0246279069765,725.170848837209,0.688241806262142,0.493171510710863,0.742253363178313,-4.59979223700255
"204723_at",38.4160930232557,665.752953488372,0.688209695546317,0.493191626745474,0.742253363178313,-4.59979262525304
"218194_at",-119.534325581396,1868.93202325581,-0.688206788806814,0.493193447719559,0.742253363178313,-4.59979266039753
"204832_s_at",-70.9340232558139,976.487476744186,-0.6881722421504,0.493215090313164,0.742253363178313,-4.59979307807946
"201634_s_at",39.2978139534882,574.73188372093,0.68815550206848,0.493225577731063,0.742253363178313,-4.5997932804659
"213318_s_at",-88.5341860465119,863.401162790698,-0.688018845372194,0.493311195710502,0.742271287915184,-4.59979493245585
"201985_at",-42.601441860465,662.002906976744,-0.688014050609774,0.493314199866038,0.742271287915184,-4.59979499041205
"213363_at",-68.7607674418604,621.960430232558,-0.687976987643423,0.493337421981954,0.742271287915184,-4.59979543839355
"210253_at",39.8146255813954,384.443315116279,0.68787076984594,0.493403976944141,0.742321302967139,-4.59979672212139
